,0
42,RT @Ed_Miliband: I want to be completely clear: there will no coalition and no deals with the SNP. #bbcqt
43,"RT @chaos_lane: imagine fighting for us to stay in the union, promising that Scotland's voice will be heard, and then refusing to do a deal…"
44,Account for every penny? Like you did last time? Your nose should be 2 foot long! https://t.co/k4NMrenulf
45,RT @ronwindward: @JimForScotland Crazy statements like that just confirms to me I made the right decision in leaving Labour for the SNP.Tim…
46,"RT @Riath84: Great, you reduced the deficit, by killing and shitting on the poor. Good job. Not really something to be bragging about Torie…"
47,Clegg: Education spending is a coalition 'red line' - ITV News http://t.co/uLHiJeeJi6
48,Can you shut the NS down until May 8. #Prettyplease https://t.co/u5foOReQIh
49,Fucking biased #BBC allowing @Nigel_Farage to have a #leadersdebate program all of his own... #NigelFarage #UKIP #GE2015
50,"'I'm not going to cave in to the SNP over Trident and the deficit'. 

A left-wing party in favour of nuclear weapons and maintaing austerity"
51,"RT @nickgoff79: If Miliband had replied then, ""ah, you work in recruitment? No wonder you're such a dick."" I'd have voted for him. But he d…"
52,"RT @EllieCumbo: Oh, Tories. Wiz zis message discipline you are really spoiling uz. http://t.co/wg5WhNyp6O"
53,RT @LeeMartin4947: Miliband on Question Time: I won't have Labour government if it means SNP deal http://t.co/8DPMTRsqG1 #GE2015
54,VIDEO: Sturgeon on post-election deals http://t.co/sLvUpn2uD8
55,Watch: Ed Miliband trips off the stage following Question Time leaders special http://t.co/PjP3yb5u6t
56,"RT @joncraig: Scottish audience all address Sturgeon as ""Nicola"". Earlier on QT it was ""Mr Cameron"", ""Mr Miliband"" &amp; ""Mr Clegg"". http://t.c…"
57,"@ScotlandTonight If Miliband will step aside to let Tories in, we need 59 SNP MPs more than ever to stand up for Scotland @theSNP #VoteSNP"
58,RT @ChristinaSNP: I just heard Milliband's pronouncements........ Oh dear.... Cutting off his nose to spite the Scots.... #VoteSNP
59,#Newsnight or Farage talking cr*p for nearly half an hour. A tough call; though Farage might well melt down yet again w/audience questions..
60,Kind of like/support nick clegg hahahaha
61,RT @chunkymark: How would labour supporters/country feel if @Ed_Miliband let Tories have another 5 years by refusing to have coalition with…
62,"RT @guardian: Guardian front page, Friday 1 May 2015: Miliband hardens his line: I will not do deal with SNP http://t.co/gHMZXK3Tbc"
63,"Couldn't watch the leaders Q&amp;As tonight as I was at a scholarship dinner, but at said dinner I argued Labour doesn't need nor want the SNP"
64,"RT @GardhamHT: Scots will never forgive Lab if Tories get in because Miliband refuses to work with SNP, says Stewart Hosie"
65,RT @DanHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? http://t.c…
66,RT @thesundaypeople: UKIP's housing spokesman rakes in £800k in housing benefit from migrants.  http://t.co/GVwb9Rcb4w http://t.co/c1AZxcLh…
67,SNP leader faces audience questions http://t.co/gk6yJ9zXNx
68,"RT @CountryStandard: You Gov Poll Tonight
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)"
69,RT @DanHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? http://t.c…
70,RT @JimForScotland: Labour has called SNP bluff. The SNP must now be clear: are they willing to prevent or bring down a Labour government &amp;…
71,"""Making love is not on the cards here, he's a Tory"""
72,"Audience member: why are million's more people using foodbanks?
David Cameron: here's a letter saying there's no money left"
73,David Cameron hugs another husky in the storms http://t.co/WWkaKjKEdJ #david Cameron #hugahusky #davidcamerontweet #greatstorm 2013 #StJude
74,RT @gemini2359: #bbcqt Tories 1st introduced PFI In NHS not Labour. Here's Ken Clarke boasting of it. http://t.co/4lk4w72f1A
75,"RT @sunny_hundal: It's far easier for Labour to work as a minority govt than the Tories. Miliband can call SNP's bluff, while Cameron has n…"
76,Fair point...... https://t.co/etdlMiew4T
77,RT @labourpress: We learnt the most from the question David Cameron wouldn't answer tonight: clear now the Tories will cut Child Benefit #b…
78,Watch: Ed Miliband trips off the stage following Question Time leaders special http://t.co/ndbqvgEkNK
79,RT @SunNation: #SUNNATION EXCLUSIVE: We reveal the man responsible for Ed slipping off the stage... http://t.co/WZ7bITsezb http://t.co/gd42…
80,ED MILIBAND FELL OF STAGE... HOW IS HE GOING TO RUN THE COUNTRY?!?!?!????
81,"RT @HouseOfTraitors: #bbcbias Number of times Party/Leader mentioned tonight on @BBCNews 

LAB  14
CON  9
LIB    7
SNP  5
UKIP  0"
82,RT @Lou_i5e: @RogerV52 @UKIP 100% Nigel
83,@Daniel__Brookes @sarahduk121 @Nigel_Farage @UKIP that's a tad semantic? perhaps we should use recent general election results as best guide
84,"RT @britainelects: Latest YouGov poll (29 - 30 Apr):
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)"
85,The historic link between Labour and the trade unions is about to break - thanks to the SNP | via @Telegraph http://t.co/W5JB0FAFet
86,RT @jogideon: Ed Miliband's in denial about his past squandering of our money. Don't let him do it again https://t.co/swqjv3xnHe
87,RT @BuntinRobert: Murphy in Scotland insults our intelligence. Milliband in London demeans all Scots. The Scots will not take it lying down…
88,#UKIP TO WIN #FARAGEFOREVER
89,RT @andrew4mk: Off to Citizens MK assembly to show my commitment to living wage. Another no show from my Tory opponent.
90,"RT @paulwaugh: ICM found just 6% #bbcqt viewers changed their mind. Small sub sample but: Clegg won 32% of switchers, Cam 25% Ed 20% http:/…"
91,Watch: Ed Miliband trips off the stage following Question Time leaders special http://t.co/Pm5UrTC2I5
92,"RT @LiarMPs: Russell Brand wants to hug people who thinks its ok to chop peoples heads off on our streets.
Miliband is only reaching out to…"
93,"So, on BBC Question Time's election special interview with the various party leaders, Miliband relented to the... http://t.co/JrCAHcLYrn"
94,Bbc scotlands entire lead story is 'nicola sturgeon won't rule out what she's already ruled out'
95,"RT @WilsonWilson009: Leaked reports that #Tories feared ""inevitable ""election defeat so ran a campaign of false flags, muddying of the wate…"
96,RT @SolManOfficial: Labour will do a deal with SNP make no mistake! Scotland will rule the UK!
97,"And like LibDem leader Mr C said, he had to make hard and brave decision 5yrs ago, to save Britain becm like Greece; huge impact stories"
98,"RT @benglaze: Great line from Lucy Powell on Miliband's minor trip: ""Ed slipped on David Cameron's sweat."" #GE2015 #bbcqt"
99,"RT @KatyFBrand: While Cameron slags off Miliband for meeting Russell Brand, shall we just bear this in mind? http://t.co/q0B18I9OFA"
100,"RT @BBCPolitics: David Cameron says child benefit is ""key"" for UK families http://t.co/jsd8Jb1lYA #bbcqt http://t.co/c13CsAKr4Q"
101,RT @HuffPostUK: The Tory spin message about David Cameron's performance is a bit obvious #bbcqt http://t.co/yihDlG5NVo http://t.co/KsqFCqwS…
102,I see @bbcnickrobinson is doing his best to spin this for the Tories. Lame. Predictable and lame. #bbcqt
103,"@DanielMancip yes I'm not a nationalist ... I don't vote SNP, won't vote SNP - you however as a unionist are a nationalist"
104,RT @christopherhope: I will ask David Cameron if he has the Liam Byrne note in his pocket tomorrow. Apparently he takes it 'everywhere' #bb…
105,RT @AHairyBiker: I knew BBC news would put more emphasis on Ed Milliband's slight trip at the end of his question time session than the who…
106,@johnmcternan @lenathehyena @UKLabour @Ed_Miliband Try going to Queen to form a Gov with fewer MPs than Tories and with no deal in place.
107,"RT @DonaldLiddell: #SNPBecause 
#SNP #VoteSNP 
@IanIwrussell @IanBarr67 @Eileen43Eileen @Zen432 @shellxdoherty84 @KatieKhaleesi http://t.co…"
108,"RT @guardian: Guardian front page, Friday 1 May 2015: Miliband hardens his line: I will not do deal with SNP http://t.co/gHMZXK3Tbc"
109,RT @ntyrbbygrl: DAVID CAMERON IS BACKING A £15 MILLION MUSEUM &amp; LIBRARY DEDICATED TO MAGGIE THATCHER. £15 FUCKING MILLION. FUCK OFF.
110,"RT @RonMooreMoreRon: Our Tory chums don't like you tweeting the following.

Wow! What a Strong and commanding performance by Ed tonight. #v…"
111,@simonk133 @roadto326 still think Tories a nose in front.
112,Watch: Ed Miliband trips off the stage following Question Time leaders special http://t.co/ndbqvgEkNK
113,".@Ed_Miliband 'nodded' to keeping austerity, but to his own formula. I, too,  was surprised he didn't expand. https://t.co/ggMWGCSLzX"
114,ED MILIBAND FELL OF STAGE... HOW IS HE GOING TO RUN THE COUNTRY?!?!?!????
115,RT @Lou_i5e: @RogerV52 @UKIP 100% Nigel
116,"RT @britainelects: Latest YouGov poll (29 - 30 Apr):
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)"
117,Fair point...... https://t.co/etdlMiew4T
118,RT @rob_pearson86: Clegg with the relaxed demeanour of a man who knows he'll be Deputy PM to *someone* on May 8th.
119,RT @BuntinRobert: Murphy in Scotland insults our intelligence. Milliband in London demeans all Scots. The Scots will not take it lying down…
120,"RT @benglaze: Great line from Lucy Powell on Miliband's minor trip: ""Ed slipped on David Cameron's sweat."" #GE2015 #bbcqt"
121,"RT @KatyFBrand: While Cameron slags off Miliband for meeting Russell Brand, shall we just bear this in mind? http://t.co/q0B18I9OFA"
122,"@DanielMancip yes I'm not a nationalist ... I don't vote SNP, won't vote SNP - you however as a unionist are a nationalist"
123,RT @christopherhope: I will ask David Cameron if he has the Liam Byrne note in his pocket tomorrow. Apparently he takes it 'everywhere' #bb…
124,@johnmcternan @lenathehyena @UKLabour @Ed_Miliband Try going to Queen to form a Gov with fewer MPs than Tories and with no deal in place.
125,"RT @thhamilton: Unexpectedly, it looks like UKIP want the royal coat of arms taken off the UK passport. http://t.co/ha36sEPClI"
126,"RT @DonaldLiddell: #SNPBecause 
#SNP #VoteSNP 
@IanIwrussell @IanBarr67 @Eileen43Eileen @Zen432 @shellxdoherty84 @KatieKhaleesi http://t.co…"
127,"RT @alanthegasman: Tim Farron - ""Miliband has ruled out reality"""
128,"@mrjamesmack In what conceivable situation could the SNP vote against Labour (bar Trident) without compromising on ""locking the Tories out""?"
129,RT @MattHancock2015: Safe to say EdM’s weak performance showed he’s too weak to stand up to SNP. Truth is British people would pay price ht…
130,No surprise there #UKIP  “@perform: http://t.co/aPxthGJjxF”
131,@johnhemming4mp Forgot to copy @jessphillips in on that one.  Ops.  Fair chance of rebuttal. Figs are pretty clear: @LibDem record better :)
132,Some daft fucker has given the UKIP bigots the internet password tonight. They are licking their screens as they type!
133,"RT @ian_beckett: No questions on tax havens for PM on #bbcqt - Pourquoi?
Cameron’s father left offshore assets in tax haven of Jersey
http:…"
134,"Here endeth the Union!
@The45Storm @JimForScotland @Ed_Miliband  https://t.co/2nmd5MbTf7"
135,vote no to stop #alexsalmond's crazy political career plan will ruin the country http://t.co/Jl8PJhZ8Sx #referendum #snp #alexsalmond
136,"Tonight's Question Time special with Cameron, Milliband &amp; Clegg was an ideal moment for a couple of games of Bullshit Bingo."
137,RT @Ed_Miliband: I want to be completely clear: there will no coalition and no deals with the SNP. #bbcqt
138,"RT @Benotadick: If the other parties snub the SNP out of spite, they're disenfranchising Scottish people and pushing support for Indy up."
139,"RT @NursieDear25: A man whose party's entire campaign is based on the ""threat"" of the SNP bringing in another Tory gov, threatening to brin…"
140,@AndrewColeman1 @BBCJamesCook @NicolaSturgeon They  said they would but Milliband saying he'd rather Tory govt than SNP backing #redtories?
141,"Why does DC have a face for every occasion? Like the ham actors in a ""B"" movie. https://t.co/6JxXZZfzqF"
142,"RT @HandofGOD7: #Miliband getting ""tough"" on immigration. After @UKLabour spent 13 years printing ""how to claim your benefits"" in 174 diffe…"
143,"As someone who is going to grimly, disappointedly go and vote Labour again this time round, please, @Ed_Miliband, stop ruling out SNP deals."
144,"@Cigar117 Farage and Carswell only likely, maybe 1 or 2 others. Need strong showing by Orange Book Lib Dems. Clegg looks like a gonner."
145,David Cameron's father left assets in offshore tax haven to his family http://t.co/ISsRR4qSiV
146,RT @DanHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? http://t.c…
147,RT @DanHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? http://t.c…
148,@yetigcreature @royhendo Nobody but UKIP will want to cosy up to the Tories - both Labour and  SNP know this.
149,Kezia doll stop making a pure clown of yourself hen !!! #snp
150,"RT @WalesForYES: If Labour let the Tories back into power, Wales will never forgive them. #GE2015"
151,I just reeeeally cannot stand David Cameron
152,RT @StephenNoon: Miliband has just sacrificed @ScottishLabour - he'd let the Tories stay in government rather than work with the #SNP #mili…
153,@ThimbleOfGrace which ukip policy did you agree with?
154,RT @RichardJMurphy: Why won't Miliband challenge the idea that the country does not run a household budget? #bbcqt
155,RT @GAPonsonby: Miliband made a 'Reverse Vow'. Can only be effective if media run as 'No Deal' instead of 'Tory Threat'. How will @BBCScotl…
156,@Ed_Miliband - forget coalition would be disaster for SNP.You'll need their votes so be realistic here .If you agree-what's the problem?
157,"RT @MarcherLord1: #bbcqt Miliband:""We will NOT form a coalition with the SNP""
RT for absolute bollocks
FAV for ""I'm gullible and totally be…"
158,"RT @osmart: Aw Miliband, just wait till the Scottish results come in #bbcqt http://t.co/ysyuKWoODI"
159,Why do they keep acting like Alex Salmond is still the leader of the SNP? Must be cause their shitting themselves from the boss Sturgeon
160,RT @MichaelH14: Ed Miliband : it wasn't the spending on teachers &amp; nurses in Britain that crashed the global economy. 'Bout time someone sa…
161,"RT @ChristineElmer: Appalling performance by Miliband, hand in pocket, just turned his back in #QuestionTime audience. No answers @UKLabour…"
162,RT @Independent: Lib Dems expose secret Tory plan to 'slash' child benefit to meet £8bn cuts target http://t.co/kCKi2c5e9t http://t.co/jBwz…
163,RT @beaubeau888: Ed Milliband came on top on the Sun's Twitter worm. Bet they won't mention that in their paper tomorrow. http://t.co/QdBJr…
164,"RT @abstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) http://t.c…"
165,"@GraceyMurph safe to vote SNP and the Tories won't get in, and the Tories will get loads off UKIP voters scared of the SNP"
166,"@naebD and y'know, the tories not voting down supply bills. like they did that one time."
167,RT @exlabourite: @debatingfools @RupTroop the guy wearing a Boris Johnson mask claiming to support UKIP was released instantly apparently? …
168,@garrynewman The audience's time with Nick Clegg was irritating. Heckled rather than asking him important policy questions.
169,"@vauseswans mum... , da d.... I'm ukip"
170,RT @JonathanArnott: My last tweets show UKIP's real policies on the NHS. You can see for yourself at http://t.co/Q5ERdlrsrx - or you could …
171,How can Ed Miliband form a minority government without some kind of tacit deal with the SNP?
172,RT @allymaciver11: I'm #SNPbecause everything Els is Tory #AskNicola #bbcqt #VoteSNP
173,"RT @Dafydd_Wigley: Nick Clegg. Makes it clear that Lib Dems are willing to go into coalition with the Tories - AGAIN ! Are you listening,  …"
174,RT @IrvineWelsh: So Lab mantra all will be well if we 'get the Tories out' now 'but we don't want them out badly enough to work with a cent…
175,RT @DouglasDaniel: Miliband's new line 'if you don't vote Labour in Scotland I will punish you by letting the Tories in'.
176,"RT @britainelects: Latest YouGov poll (29 - 30 Apr):
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)"
177,"@james_askwith @TheMockneyRebel @scottieh419 #Ukip PPCs are either silent when asked, or refuse to endorse what their party stands for"
178,These pundits talking about reaction of #bbcqt audience is ludicrous. On the BBC's own admission half of them were Tories &amp; LibDens
179,"RT @MSmithsonPB: Figures from tonight's YouGov/Sun poll
: CON 34%, LAB 35%, LD 8%, UKIP 12%, GRN 5%"
180,@shauntberry @Telegraph  No it wasn't fair. Why only asked Ed abt non-dorm? Why not Cameron and Clegg? It was fucking stacked.
181,"@Blowmonkey1 @theSNP No deals, no coalition - quite clear. The only way to keep the Tories out is to vote #scottishlabour No other way."
182,"RT @benrileysmith: One-word verdicts from @jameskirkup. 
Cameron: strong
Miliband: stumbling
Clegg: sidelined
Audience: savage 
http://t.co…"
183,"RT @EtonOldBoys: If you thought Labour over spent read the facts, up until the Banking Crisis spent less than the Tories http://t.co/Pem6KH…"
184,RT @GuidoFawkes: Miliband's trip makes the News at Ten
185,"RT @abstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) http://t.c…"
186,"RT @DS_Kelly: Alt Coldplay:Look at the seats!
Look how they swing for you,
And everything you do,
Yeah, they were all yellow.
@CheMcNicol #…"
187,RT @WelshConserv: We've come a long way in 5yrs. Don't let EdM &amp; SNP drag us back to square one. Let's keep going #SecureTheRecovery https:…
188,"RT @eastwoodsnp222: @JimForScotland It's not a bluff Jim, If Lab let the Tories in instead of being supported by SNP to form a gov, they wi…"
189,RT @richjb1987: “@ChrisDYork: And here's the best bit of the night so far... Miliband nearly face-planting the Q #bbcqt https://t.co/sacekY…
190,#Election2015 Nick Clegg risks losing his seat in general election http://t.co/tlTak1HV2M
191,RT @ChristinaSNP: I just heard Milliband's pronouncements........ Oh dear.... Cutting off his nose to spite the Scots.... #VoteSNP
192,"RT @CelticWolf1312: Disgusted by @Ed_Miliband saying he would rather let the Tories in than work with @theSNP
People must vote for the prog…"
193,RT @scotnotbritt: Well thats it. LABOUR would rather have a TORY government rather than work with the SNP. http://t.co/SNMkRDCe9f
194,"RT @abstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) http://t.c…"
195,"RT @janicedickson: Tory MP wishes Sir John A. a happy birthday, months late http://t.co/1JhwWVu2YE"
196,"RT @YesGiffnock: Here is Ed Miliband handing the GE to the Tories Please RT
http://t.co/sCgqHx6lj6"
197,Some of Cameron's lies in more detail...  https://t.co/w3TnILBGAi
198,"Miliband stumbles, Cameron dodges http://t.co/XASgVzgOVN"
199,RT @Ed_Miliband: I want to be completely clear: there will no coalition and no deals with the SNP. #bbcqt
200,RT @DanHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? http://t.c…
201,RT @TotalPolitics: After the #milistumble here's Nick Clegg #rudemanslapdown https://t.co/LQUO9sdCeT
202,"RT @LucyMPowell: Tough questions to both leaders, but only Ed Miliband actually answering them #bbcqt"
203,"RT @john_mcgoff: Tomorrows Sun - English edition ""Ed Miliband Trips off Stage""
Tomorrows Sun - Scottish edition ""Ed Miliband's Tripping"""
204,"RT @ian_beckett: No questions on tax havens for PM on #bbcqt - Pourquoi?
Cameron’s father left offshore assets in tax haven of Jersey
http:…"
205,RT @yorkshirelabour: Time and time again David Cameron refuses to say which working benefits he'll cut. The audience are growing frustrated…
206,@chunkymark @OwenJones84 lab going to hand the torys keys to downing st to keep out snp. Can't blame snp now folks ed will sell yous out😂
207,"@TheLastLeg Russell forces Miliband to say ""hapax mogolgnon"" #Milibrand"
208,"#Suzanne Evans This Lady is a little gem. Straight talking, intelligent fierce UKIP warrior. What you see is what you get. Love the honesty."
209,"You are misinformed.If you do actually want to learn about UKIP, feel free. http://t.co/nFe9qdFsjG"
210,RT @KevinJPringle: .@Ed_Miliband's distancing from @theSNP wholly under pressure from Tories - he went way too far &amp; has given Labour in Sc…
211,RT @BenCooper86: When did Labour start overspending &amp; does this mean the Tories under Major overspent too? #bbcqt http://t.co/FBtkD01Plg
212,"RT @Frances_Coppola: Now on the train. Across the aisle are four drunk Tory men loudly proclaiming that we must cut the deficit ""because it…"
213,"RT @KatieWeasel: Ed Miliband ""we're not going to do a deal with the SNP, there will be no coalition with the SNP"" #bbcqt http://t.co/r1ljJt…"
214,"RT @mrdavidwhitley: ""Cosying up to Russell Brand shows that Ed Miliband just isn't cut out to be Prime Minister."" http://t.co/auRfyLYkUc"
215,RT @DougyMontiel: Everyone is going to be on Tory Lanez soon 📶
216,"not even Inspector Gadget could find your dignity, fam https://t.co/BiqeEgC1l1"
217,RT @ronwindward: @JimForScotland Crazy statements like that just confirms to me I made the right decision in leaving Labour for the SNP.Tim…
218,"RT @Mancman10: Tonight's YouGov poll:
LAB 35%
CON 34%
UKIP 12%
LDEM 8%
GRN 5%
#7DaysToGo
#GE2015"
219,RT @GAPonsonby: 'Vote for us or we'll set the Tories on you'. I just can't see this as anything other than a suicide note for @scottishlabo…
220,@Davidbush that we can agree on. You over the border in Scotland? I'm in safe Tory seat not seen our Tory candidate /shrug UKIP/LD busy here
221,RT @LiviEastSNP: So Milliband and Labour would rather allow the Tories back in than form a Government. Why is he standing then!... http://t…
222,RT @tombradby: Nick Clegg looks supremely confident in this format. I think he's done himself some favours tonight.
223,@jameslee42 @SteveRHolmes SNP won't abstain from a left-leaning programme of minority Govt. They'd be crucified in Scotland.
224,"RT @CelticWolf1312: Disgusted by @Ed_Miliband saying he would rather let the Tories in than work with @theSNP
People must vote for the prog…"
225,"RT @LiarMPs: Russell Brand wants to hug people who thinks its ok to chop peoples heads off on our streets.
Miliband is only reaching out to…"
226,If Miliband doesn't think the last labour government overspent then there is no way him and his party can be trusted with the economy
227,RT @jameskirkup: David Cameron will be happy with tonight's events. Nick Clegg will be satisfied. Ed Miliband will be sad. #bbcqt
228,RT @TegidRoberts: @TinaTeapot27 @Alexx_McArthur @bratdha anything at all is better than the Tories back in. A lab/snp/plaid/green/lib/kitch…
229,"RT @joncstone: ICM snap poll for the #bbcqt special has a solid win for David Cameron: 

44% Cameron
38% Miliband
19% Clegg http://t.co/C3G…"
230,RT @thewinning55: Sturgeon gives herself payrise making her 6th highest paid politician in World and rides around in a helicopter then slam…
231,#Politics: BBC Question Time sketch: David Cameron v Ed Miliband... and Liam Byrne: In a spe... http://t.co/9PWC5BorA1 via .@TheNewsHype
232,"RT @osmart: Aw Miliband, just wait till the Scottish results come in #bbcqt http://t.co/ysyuKWoODI"
233,David Cameron confidant promotes forced depopulation of Muslims in Europe http://t.co/nMSGgrkpFi via @WritersofColour
234,RT @DanHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? http://t.c…
235,RT @amiablecynic: I'm a #GreenParty member but I'll vote #Labour because I believe Ed has the best chance of ending #Tory rule #dontvotegre…
236,"Last RT: If Ed Milliband won't do a deal with SNP, highly unlikely they will be in government"
237,RT @Always_a_Yes: Miliband just doesn't understand Scots and he is getting poor advice from Scottish Labour politicians all desperate to ke…
238,"RT @A_Liberty_Rebel: Only regret at #BBCQT is that, in Yorkshire, no-one asked Miliband about connection between #Rotherham &amp; criminalising…"
239,"RT @britainelects: Latest YouGov poll (29 - 30 Apr):
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)"
240,RT @Markfergusonuk: Ed Miliband’s offer to the SNP http://t.co/brlzvUHNr4
241,RT @PeteWars: @MichelleMone how will you control the Tories in Scotland Michelle?
242,"#Politics: BBC Question Time: Ed Miliband savaged over his economic record: Ed Miliband, the... http://t.co/nxefkdoxlB via .@TheNewsHype"
243,"How leaders dealt with TV grilling: Carole Walker gives her verdict on how David Cameron, Nick Clegg and Ed Mi... http://t.co/C5wfoYN0Jn"
244,RT @shonad7674: Tory &amp; Labour you insult me every time you open your mouth.I am a pensioner voting politically for 1st time &amp; will be votin…
